<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER [TQBR],1,20161205,123100,160.780000,160.800000,160.720000,160.760000,3829.000000
SBER [TQBR],1,20161205,123200,160.790000,160.980000,160.760000,160.980000,28906.000000
SBER [TQBR],1,20161205,123300,160.970000,161.050000,160.930000,160.990000,39897.000000
SBER [TQBR],1,20161205,123400,160.990000,160.990000,160.880000,160.940000,4188.000000
SBER [TQBR],1,20161205,123500,160.950000,160.960000,160.840000,160.900000,3575.000000
SBER [TQBR],1,20161205,123600,160.900000,160.950000,160.810000,160.880000,8284.000000
SBER [TQBR],1,20161205,123700,160.900000,160.900000,160.800000,160.880000,1383.000000
SBER [TQBR],1,20161205,123800,160.870000,160.980000,160.850000,160.980000,5188.000000
SBER [TQBR],1,20161205,123900,160.980000,161.050000,160.940000,160.980000,58704.000000
SBER [TQBR],1,20161205,124000,160.980000,160.980000,160.670000,160.850000,10909.000000
SBER [TQBR],1,20161205,124100,160.890000,160.900000,160.810000,160.860000,7282.000000
SBER [TQBR],1,20161205,124200,160.860000,160.860000,160.500000,160.770000,19197.000000
SBER [TQBR],1,20161205,124300,160.770000,160.860000,160.710000,160.800000,2419.000000
SBER [TQBR],1,20161205,124400,160.800000,160.890000,160.740000,160.890000,5500.000000
SBER [TQBR],1,20161205,124500,160.890000,160.950000,160.860000,160.860000,3180.000000
SBER [TQBR],1,20161205,124600,160.900000,160.980000,160.860000,160.970000,8390.000000
SBER [TQBR],1,20161205,124700,160.980000,160.990000,160.820000,160.890000,9148.000000
SBER [TQBR],1,20161205,124800,160.920000,161.020000,160.870000,160.990000,41353.000000
SBER [TQBR],1,20161205,124900,160.990000,161.000000,160.960000,160.990000,4717.000000
SBER [TQBR],1,20161205,125000,160.980000,160.990000,160.860000,160.900000,8451.000000
SBER [TQBR],1,20161205,125100,160.900000,160.900000,160.860000,160.900000,7020.000000
SBER [TQBR],1,20161205,125200,160.900000,160.940000,160.780000,160.930000,6210.000000
SBER [TQBR],1,20161205,125300,160.920000,161.000000,160.920000,160.930000,12095.000000
SBER [TQBR],1,20161205,125400,160.990000,161.000000,160.960000,161.000000,5432.000000
